date,price
736589.0,
736590.0,
736591.0,410.25
736592.0,404.0
736593.0,409.25
736594.0,418.25
736595.0,416.25
736596.0,
736597.0,
736598.0,417.25
736599.0,400.5
736600.0,407.0
736601.0,434.75
736602.0,435.5
736603.0,
736604.0,
736605.0,437.75
736606.0,446.75
736607.0,455.5
736608.0,459.25
736609.0,457.75
736610.0,
736611.0,
736612.0,466.5
736613.0,459.75
736614.0,453.25
736615.0,455.0
736616.0,450.0
736617.0,
736618.0,
736619.0,446.75
736620.0,447.75
736621.0,459.5
736622.0,448.25
736623.0,451.75
736624.0,
736625.0,
736626.0,451.75
736627.0,449.5
736628.0,448.0
736629.0,450.5
736630.0,446.5
736631.0,
736632.0,
736633.0,425.25
736634.0,421.5
736635.0,407.75
736636.0,408.25
736637.0,403.25
736638.0,
736639.0,
736640.0,403.5
736641.0,406.25
736642.0,403.25
736643.0,403.0
736644.0,390.0
736645.0,
736646.0,
736647.0,383.5
736648.0,399.5
736649.0,401.25
736650.0,401.5
736651.0,403.75
736652.0,
736653.0,
736654.0,426.25
736655.0,422.5
736656.0,422.5
736657.0,421.75
736658.0,409.25
736659.0,
736660.0,
736661.0,417.5
736662.0,403.25
736663.0,429.25
736664.0,458.0
736665.0,460.0
736666.0,
736667.0,
736668.0,463.25
736669.0,457.75
736670.0,456.75
736671.0,456.5
736672.0,462.0
736673.0,
736674.0,
736675.0,477.75
736676.0,476.5
736677.0,474.75
736678.0,460.5
736679.0,473.75
736680.0,
736681.0,
736682.0,470.0
736683.0,469.0
736684.0,464.0
736685.0,466.75
736686.0,463.0
736687.0,
736688.0,
736689.0,
736690.0,
736691.0,481.0
736692.0,483.25
736693.0,483.75
736694.0,
736695.0,
736696.0,
736697.0,478.0
736698.0,478.5
736699.0,477.5
736700.0,484.25
736701.0,
736702.0,
736703.0,474.0
736704.0,464.5
736705.0,472.75
736706.0,480.5
736707.0,475.75
736708.0,
736709.0,
736710.0,475.75
736711.0,480.0
736712.0,475.0
736713.0,469.5
736714.0,479.75
736715.0,
736716.0,
736717.0,476.0
736718.0,480.0
736719.0,480.5
736720.0,487.75
736721.0,479.25
736722.0,
736723.0,
736724.0,479.25
736725.0,488.0
736726.0,492.25
736727.0,494.25
736728.0,491.0
736729.0,
736730.0,
736731.0,488.75
736732.0,480.0
736733.0,485.5
736734.0,485.25
736735.0,492.25
736736.0,
736737.0,
736738.0,480.0
736739.0,486.75
736740.0,484.0
736741.0,480.25
736742.0,479.75
736743.0,
736744.0,
736745.0,488.5
736746.0,493.5
736747.0,481.75
736748.0,489.5
736749.0,483.25
736750.0,
736751.0,
736752.0,485.75
736753.0,477.25
736754.0,484.75
736755.0,472.0
736756.0,472.0
736757.0,
736758.0,
736759.0,475.25
736760.0,475.75
736761.0,470.0
736762.0,447.25
736763.0,444.5
736764.0,
736765.0,
736766.0,440.75
736767.0,432.5
736768.0,439.5
736769.0,440.0
736770.0,440.5
736771.0,
736772.0,
736773.0,440.0
736774.0,435.5
736775.0,428.0
736776.0,430.5
736777.0,429.0
736778.0,
736779.0,
736780.0,431.5
736781.0,440.75
736782.0,443.75
736783.0,450.25
736784.0,451.0
736785.0,
736786.0,
736787.0,452.75
736788.0,461.0
736789.0,464.0
736790.0,466.0
736791.0,473.0
736792.0,
736793.0,
736794.0,479.75
736795.0,478.75
736796.0,482.75
736797.0,479.5
736798.0,
